hora leitura;mês consulta;código FIPE;marca;modelo obtido;preço;modelo desejado;observação
Fri Jul 26 18:51:07 2024;julho de 2024;879013-2;Royal Enfield;Himalayan 411 EFI;R$ 26.357,00;Himalayan 411 EFI;--
Fri Jul 26 18:51:17 2024;julho de 2024;879032-9;Royal Enfield;Hunter Dapper 350cc ABS;R$ 21.990,00;Hunter Dapper 350cc ABS;--
Fri Jul 26 18:51:28 2024;julho de 2024;879033-7;Royal Enfield;Hunter Rebel 350cc ABS;R$ 23.990,00;Hunter Rebel 350cc ABS;--
Fri Jul 26 18:51:38 2024;julho de 2024;879015-9;Royal Enfield;Interceptor 650cc ABS;R$ 31.150,00;Interceptor 650cc ABS;--
Fri Jul 26 18:51:48 2024;julho de 2024;879016-7;Royal Enfield;Interceptor Custom 650cc ABS;R$ 32.149,00;Interceptor Custom 650cc ABS;--
Fri Jul 26 18:51:59 2024;julho de 2024;879018-3;Royal Enfield;Interceptor Special Colorway 650cc ABS;R$ 32.445,00;Interceptor Special Colorway 650cc ABS;--
Fri Jul 26 18:52:09 2024;julho de 2024;879022-1;Royal Enfield;Meteor Fireball 350cc ABS;R$ 24.039,00;Meteor Fireball 350cc ABS;--
Fri Jul 26 18:52:20 2024;julho de 2024;879023-0;Royal Enfield;Meteor Stellar 350cc ABS;R$ 25.182,00;Meteor Stellar 350cc ABS;--
Fri Jul 26 18:52:30 2024;julho de 2024;879024-8;Royal Enfield;Meteor Supernova 350cc ABS;R$ 25.896,00;Meteor Supernova 350cc ABS;--
Fri Jul 26 18:52:40 2024;julho de 2024;879031-0;Royal Enfield;Scram 411 EFI;R$ 24.678,00;Scram 411 EFI;--
Fri Jul 26 18:52:51 2024;julho de 2024;879034-5;Royal Enfield;Super Meteor Astral 650cc ABS;R$ 33.954,00;Super Meteor Astral 650cc ABS;--
Fri Jul 26 18:53:01 2024;julho de 2024;879036-1;Royal Enfield;Super Meteor Celestial 650cc ABS;R$ 34.967,00;Super Meteor Celestial 650cc ABS;--
Fri Jul 26 18:53:11 2024;julho de 2024;879035-3;Royal Enfield;Super Meteor Interstellar 650cc ABS;R$ 34.472,00;Super Meteor Interstellar 650cc ABS;--
Fri Jul 26 18:53:35 2024;julho de 2024;850043-6;SHINERAY;FREE 150 EFI;R$ 11.824,00;FREE 150 EFI;--
Fri Jul 26 18:53:45 2024;julho de 2024;850032-0;SHINERAY;PT-02 2000W (Elétrica);R$ 8.980,00;PT-02 2000W (Elétrica);--
Fri Jul 26 18:53:56 2024;julho de 2024;850033-9;SHINERAY;PT-02 S 2000W (Elétrica);R$ 9.623,00;PT-02 S 2000W (Elétrica);--
Fri Jul 26 18:54:06 2024;julho de 2024;850028-2;SHINERAY;PT-03 2000W (Elétrica);R$ 10.026,00;PT-03 2000W (Elétrica);--
Fri Jul 26 18:54:16 2024;julho de 2024;850038-0;SHINERAY;PT-03 S 2000W (Elétrica);R$ 11.571,00;PT-03 S 2000W (Elétrica);--
Fri Jul 26 18:54:26 2024;julho de 2024;850034-7;SHINERAY;SE-1 2000W (Elétrica);R$ 15.297,00;SE-1 2000W (Elétrica);--
Fri Jul 26 18:54:36 2024;julho de 2024;850029-0;SHINERAY;SE-2 2300W (Elétrica);R$ 15.302,00;SE-2 2300W (Elétrica);--
Fri Jul 26 18:54:47 2024;julho de 2024;850041-0;SHINERAY;SHE-S 3000W (Elétrica);R$ 17.104,00;SHE-S 3000W (Elétrica);--
Fri Jul 26 18:54:57 2024;julho de 2024;850031-2;SHINERAY;SHI 175;R$ 14.492,00;SHI 175;--
Fri Jul 26 18:55:07 2024;julho de 2024;850042-8;SHINERAY;URBAN 150 EFI;R$ 17.590,00;URBAN 150 EFI;--
Fri Jul 26 18:55:17 2024;julho de 2024;850027-4;SHINERAY;WORKER 125;R$ 8.436,00;WORKER 125;--
Fri Jul 26 18:55:28 2024;julho de 2024;850035-5;SHINERAY;WORKER 150;R$ 8.931,00;WORKER 150;--
Fri Jul 26 18:55:38 2024;julho de 2024;850017-7;SHINERAY;XY 125 JET;R$ 8.657,00;XY 125 JET;--
Fri Jul 26 18:55:48 2024;julho de 2024;850036-3;SHINERAY;XY 125 JET SS;R$ 9.532,00;XY 125 JET SS;--
Fri Jul 26 18:55:58 2024;julho de 2024;850037-1;SHINERAY;XY 125 JET SS EFI;R$ 10.832,00;XY 125 JET SS EFI;--
Fri Jul 26 18:56:08 2024;julho de 2024;850040-1;SHINERAY;XY 125 RIO EFI;R$ 10.989,00;XY 125 RIO EFI;--
Fri Jul 26 18:56:19 2024;julho de 2024;850026-6;SHINERAY;XY 150-8 JEF;R$ 13.457,00;XY 150-8 JEF;--
Fri Jul 26 18:56:29 2024;julho de 2024;850039-8;SHINERAY;XY 50-Q JET S;R$ 8.833,00;XY 50-Q JET S;--
Fri Jul 26 18:56:39 2024;julho de 2024;850011-8;SHINERAY;XY 50-Q PHOENIX;R$ 7.626,00;XY 50-Q PHOENIX;--
Fri Jul 26 18:56:50 2024;julho de 2024;850015-0;SHINERAY;XY 50-Q2 RETRO/JET/BIKE;R$ 8.176,00;XY 50-Q2 RETRO/JET/BIKE;--
Fri Jul 26 18:57:25 2024;julho de 2024;825081-2;SUZUKI;DL 1050 V-STROM;R$ 81.197,00;DL 1050 V-STROM;--
Fri Jul 26 18:57:35 2024;julho de 2024;825079-0;SUZUKI;DL 1050 XT V-STROM;R$ 87.796,00;DL 1050 XT V-STROM;--
Fri Jul 26 18:57:46 2024;julho de 2024;825078-2;SUZUKI;DL 650 V-STROM ADVENTURE;R$ 61.580,00;DL 650 V-STROM ADVENTURE;--
Fri Jul 26 18:57:56 2024;julho de 2024;825070-7;SUZUKI;DL 650 XT V-STROM;R$ 56.915,00;DL 650 XT V-STROM;--
Fri Jul 26 18:58:06 2024;julho de 2024;825082-0;SUZUKI;DL 800DE V-STROM;R$ 69.167,00;DL 800DE V-STROM;--
Fri Jul 26 18:58:18 2024;julho de 2024;825017-0;SUZUKI;GSX 1300-R HAYABUSA;R$ 125.395,00;GSX 1300-R HAYABUSA;--
Fri Jul 26 18:58:28 2024;julho de 2024;825076-6;SUZUKI;GSX-R 1000 R;R$ 102.710,00;GSX-R 1000 R;--
Fri Jul 26 18:58:38 2024;julho de 2024;825071-5;SUZUKI;GSX-S 1000;R$ 80.101,00;GSX-S 1000;--
Fri Jul 26 18:58:48 2024;julho de 2024;825080-4;SUZUKI;GSX-S 1000 GT;R$ 93.478,00;GSX-S 1000 GT;--
Fri Jul 26 18:58:59 2024;julho de 2024;825074-0;SUZUKI;GSX-S 750;R$ 57.450,00;GSX-S 750;--
Fri Jul 26 18:59:35 2024;julho de 2024;826060-5;TRIUMPH;BONNEVILLE BOBBER 1200cc;R$ 66.674,00;BONNEVILLE BOBBER 1200cc;--
Fri Jul 26 18:59:45 2024;julho de 2024;826092-3;TRIUMPH;BONNEVILLE BOBBER CHROME EDITION 1200cc;R$ 66.606,00;BONNEVILLE BOBBER CHROME EDITION 1200cc;--
Fri Jul 26 18:59:55 2024;julho de 2024;826088-5;TRIUMPH;BONNEVILLE SPEEDMASTER 1200cc;R$ 66.690,00;BONNEVILLE SPEEDMASTER 1200cc;--
Fri Jul 26 19:00:06 2024;julho de 2024;826023-0;TRIUMPH;BONNEVILLE T 100;R$ 57.589,00;BONNEVILLE T 100;--
Fri Jul 26 19:00:16 2024;julho de 2024;826057-5;TRIUMPH;BONNEVILLE T120 BLACK;R$ 65.698,00;BONNEVILLE T120 BLACK;--
Fri Jul 26 19:00:26 2024;julho de 2024;826089-3;TRIUMPH;ROCKET III GT 2500cc;R$ 132.455,00;ROCKET III GT 2500cc;--
Fri Jul 26 19:00:36 2024;julho de 2024;826074-5;TRIUMPH;ROCKET III R 2500cc;R$ 127.470,00;ROCKET III R 2500cc;--
Fri Jul 26 19:00:47 2024;julho de 2024;826099-0;TRIUMPH;SCRAMBLER 1200 X;R$ 66.199,00;SCRAMBLER 1200 X;--
Fri Jul 26 19:00:57 2024;julho de 2024;826071-0;TRIUMPH;SCRAMBLER 1200 XE;R$ 72.156,00;SCRAMBLER 1200 XE;--
Fri Jul 26 19:01:07 2024;julho de 2024;826093-1;TRIUMPH;SCRAMBLER 1200 XE CHROME EDITION;R$ 73.490,00;SCRAMBLER 1200 XE CHROME EDITION;--
Fri Jul 26 19:01:18 2024;julho de 2024;826095-8;TRIUMPH;SCRAMBLER 400X;R$ 33.990,00;SCRAMBLER 400X;--
Fri Jul 26 19:01:28 2024;julho de 2024;826031-1;TRIUMPH;SCRAMBLER 900cc;R$ 57.559,00;SCRAMBLER 900cc;--
Fri Jul 26 19:01:38 2024;julho de 2024;826096-6;TRIUMPH;SPEED 400;R$ 29.711,00;SPEED 400;--
Fri Jul 26 19:01:49 2024;julho de 2024;826070-2;TRIUMPH;Speed Twin 1200cc;R$ 66.172,00;Speed Twin 1200cc;--
Fri Jul 26 19:01:59 2024;julho de 2024;826087-7;TRIUMPH;Speed Twin 900cc;R$ 55.587,00;Speed Twin 900cc;--
Fri Jul 26 19:02:09 2024;julho de 2024;826094-0;TRIUMPH;STREET TRIPLE 765 R;R$ 59.660,00;STREET TRIPLE 765 R;--
Fri Jul 26 19:02:20 2024;julho de 2024;826062-1;TRIUMPH;STREET TRIPLE 765 RS;R$ 68.858,00;STREET TRIPLE 765 RS;--
Fri Jul 26 19:02:30 2024;julho de 2024;826085-0;TRIUMPH;TIGER 1200 GT EXPLORER;R$ 117.072,00;TIGER 1200 GT EXPLORER;--
Fri Jul 26 19:02:40 2024;julho de 2024;826098-2;TRIUMPH;TIGER 1200 GT PRO;R$ 95.892,00;TIGER 1200 GT PRO;--
Fri Jul 26 19:02:51 2024;julho de 2024;826097-4;TRIUMPH;TIGER 1200 RALLY BLACK Edition;R$ 88.416,00;TIGER 1200 RALLY BLACK Edition;--
Fri Jul 26 19:03:01 2024;julho de 2024;826086-9;TRIUMPH;TIGER 1200 RALLY EXPLORER;R$ 124.112,00;TIGER 1200 RALLY EXPLORER;--
Fri Jul 26 19:03:11 2024;julho de 2024;826084-2;TRIUMPH;TIGER 1200 RALLY PRO;R$ 109.585,00;TIGER 1200 RALLY PRO;--
Fri Jul 26 19:03:21 2024;julho de 2024;826083-4;TRIUMPH;TIGER 660 SPORT;R$ 56.957,00;TIGER 660 SPORT;--
Fri Jul 26 19:03:32 2024;julho de 2024;826077-0;TRIUMPH;TIGER 900 GT;R$ 72.210,00;TIGER 900 GT;--
Fri Jul 26 19:03:42 2024;julho de 2024;826090-7;TRIUMPH;TIGER 900 GT ARAGON Edition;R$ 75.663,00;TIGER 900 GT ARAGON Edition;--
Fri Jul 26 19:03:53 2024;julho de 2024;826076-1;TRIUMPH;TIGER 900 GT PRO;R$ 78.872,00;TIGER 900 GT PRO;--
Fri Jul 26 19:04:03 2024;julho de 2024;826078-8;TRIUMPH;TIGER 900 RALLY;R$ 70.730,00;TIGER 900 RALLY;--
Fri Jul 26 19:04:13 2024;julho de 2024;826091-5;TRIUMPH;TIGER 900 RALLY ARAGON Edition;R$ 74.912,00;TIGER 900 RALLY ARAGON Edition;--
Fri Jul 26 19:04:24 2024;julho de 2024;826075-3;TRIUMPH;TIGER 900 RALLY PRO;R$ 81.858,00;TIGER 900 RALLY PRO;--
Fri Jul 26 19:04:34 2024;julho de 2024;826081-8;TRIUMPH;TRIDENT 660;R$ 49.887,00;TRIDENT 660;--
Fri Jul 26 19:04:51 2024;julho de 2024;896004-6;Ventane Motors;MILANO 3000W (Elétrica);R$ 17.172,00;MILANO 3000W (Elétrica);--
Fri Jul 26 19:05:01 2024;julho de 2024;896003-8;Ventane Motors;ROMA 3000W (Elétrica);R$ 17.122,00;ROMA 3000W (Elétrica);--
Fri Jul 26 19:05:12 2024;julho de 2024;896001-1;Ventane Motors;VTX 3000W (Elétrica);R$ 17.697,00;VTX 3000W (Elétrica);--
Fri Jul 26 19:05:22 2024;julho de 2024;896002-0;Ventane Motors;WIND 2000W (Elétrica);R$ 17.072,00;WIND 2000W (Elétrica);--
Fri Jul 26 19:05:51 2024;julho de 2024;894001-0;WATTS;W125 3000W (Elétrica);R$ 22.495,00;W125 3000W (Elétrica);--
Fri Jul 26 19:06:02 2024;julho de 2024;894003-7;WATTS;W160S 10000W (Elétrica);R$ 26.490,00;W160S 10000W (Elétrica);--
Fri Jul 26 19:06:12 2024;julho de 2024;894002-9;WATTS;WS120 3500W (Elétrica);R$ 18.200,00;WS120 3500W (Elétrica);--
Fri Jul 26 19:06:36 2024;julho de 2024;827121-6;YAMAHA;FLUO 125 ABS;R$ 16.140,00;FLUO 125 ABS;--
Fri Jul 26 19:06:46 2024;julho de 2024;827124-0;YAMAHA;FZ15 150 FAZER FLEX;R$ 20.247,00;FZ15 150 FAZER FLEX;--
Fri Jul 26 19:06:57 2024;julho de 2024;827116-0;YAMAHA;FZ25 250 FAZER CAPITÃ MARVEL FLEX;R$ 24.518,00;FZ25 250 FAZER CAPITÃ MARVEL FLEX;--
Fri Jul 26 19:07:07 2024;julho de 2024;827107-0;YAMAHA;FZ25 250 FAZER FLEX;R$ 24.220,00;FZ25 250 FAZER FLEX;--
Fri Jul 26 19:07:17 2024;julho de 2024;827123-2;YAMAHA;FZ25 FAZER THOR FLEX;R$ 24.500,00;FZ25 FAZER THOR FLEX;--
Fri Jul 26 19:07:28 2024;julho de 2024;827103-8;YAMAHA;MT-03 321/ABS;R$ 33.925,00;MT-03 321/ABS;--
Fri Jul 26 19:07:38 2024;julho de 2024;827095-3;YAMAHA;MT-07/MT-07 ABS 689cc;R$ 50.397,00;MT-07/MT-07 ABS 689cc;--
Fri Jul 26 19:07:49 2024;julho de 2024;827094-5;YAMAHA;MT-09 850cc/ABS;R$ 64.122,00;MT-09 850cc/ABS;--
Fri Jul 26 19:07:59 2024;julho de 2024;827110-0;YAMAHA;MT-09 TRACER 900 GT;R$ 72.287,00;MT-09 TRACER 900 GT;--
Fri Jul 26 19:08:09 2024;julho de 2024;827106-2;YAMAHA;NEO AUTOMATIC 125cc;R$ 13.798,00;NEO AUTOMATIC 125cc;--
Fri Jul 26 19:08:20 2024;julho de 2024;827125-9;YAMAHA;NMAX Connected 160 ABS;R$ 22.361,00;NMAX Connected 160 ABS;--
Fri Jul 26 19:08:30 2024;julho de 2024;827127-5;YAMAHA;NMAX Connected SE 160 ABS;R$ 22.521,00;NMAX Connected SE 160 ABS;--
Fri Jul 26 19:08:40 2024;julho de 2024;827064-3;YAMAHA;TT-R 230;R$ 20.847,00;TT-R 230;--
Fri Jul 26 19:08:51 2024;julho de 2024;827120-8;YAMAHA;WR 450 F;R$ 79.790,00;WR 450 F;--
Fri Jul 26 19:09:01 2024;julho de 2024;827113-5;YAMAHA;XMAX 250 ABS;R$ 33.606,00;XMAX 250 ABS;--
Fri Jul 26 19:09:11 2024;julho de 2024;827108-9;YAMAHA;XTZ 150 CROSSER S FLEX;R$ 21.422,00;XTZ 150 CROSSER S FLEX;--
Fri Jul 26 19:09:22 2024;julho de 2024;827109-7;YAMAHA;XTZ 150 CROSSER Z FLEX;R$ 21.647,00;XTZ 150 CROSSER Z FLEX;--
Fri Jul 26 19:09:32 2024;julho de 2024;827059-7;YAMAHA;XTZ 250 LANDER 249cc/LANDER BLUEFLEX/ABS;R$ 27.353,00;XTZ 250 LANDER 249cc/LANDER BLUEFLEX/ABS;--
Fri Jul 26 19:09:42 2024;julho de 2024;827104-6;YAMAHA;YBR 125i FACTOR ED/FLEX;R$ 16.224,00;YBR 125i FACTOR ED/FLEX;--
Fri Jul 26 19:09:53 2024;julho de 2024;827099-6;YAMAHA;YBR 150 FACTOR ED/FLEX;R$ 17.242,00;YBR 150 FACTOR ED/FLEX;--
Fri Jul 26 19:10:03 2024;julho de 2024;827069-4;YAMAHA;YFZ 450/ YZ 450 F 449cc;R$ 87.990,00;YFZ 450/ YZ 450 F 449cc;--
Fri Jul 26 19:10:13 2024;julho de 2024;827088-0;YAMAHA;YS 150 FAZER SED/ FLEX;R$ 18.320,00;YS 150 FAZER SED/ FLEX;--
Fri Jul 26 19:10:24 2024;julho de 2024;827042-2;YAMAHA;YZ 250;R$ 66.921,00;YZ 250;--
Fri Jul 26 19:10:34 2024;julho de 2024;827111-9;YAMAHA;YZ 250 F 250cc;R$ 72.190,00;YZ 250 F 250cc;--
Fri Jul 26 19:10:44 2024;julho de 2024;827112-7;YAMAHA;YZ 85 LW 85cc;R$ 52.080,00;YZ 85 LW 85cc;--
Fri Jul 26 19:10:55 2024;julho de 2024;827129-1;YAMAHA;YZF R-15 155 ABS;R$ 22.275,00;YZF R-15 155 ABS;--
Fri Jul 26 19:11:05 2024;julho de 2024;827097-0;YAMAHA;YZF R-3 321/ABS;R$ 35.660,00;YZF R-3 321/ABS;--
Fri Jul 26 19:11:15 2024;julho de 2024;827126-7;YAMAHA;YZF R-3 World GP 60th ANINIVERSARY ED.;R$ 34.146,00;YZF R-3 World GP 60th ANINIVERSARY ED.;--
Fri Jul 26 19:11:33 2024;julho de 2024;895004-0;ZONTES;E 350;R$ 35.872,00;E 350;--
Fri Jul 26 19:11:43 2024;julho de 2024;895009-1;ZONTES;GK 350;R$ 33.933,00;GK 350;--
Fri Jul 26 19:11:53 2024;julho de 2024;895001-6;ZONTES;R 310;R$ 30.423,00;R 310;--
Fri Jul 26 19:12:03 2024;julho de 2024;895005-9;ZONTES;R 350;R$ 30.435,00;R 350;--
Fri Jul 26 19:12:14 2024;julho de 2024;895003-2;ZONTES;T 310;R$ 31.890,00;T 310;--
Fri Jul 26 19:12:24 2024;julho de 2024;895006-7;ZONTES;T 350;R$ 33.175,00;T 350;--
Fri Jul 26 19:12:34 2024;julho de 2024;895007-5;ZONTES;T 350 X;R$ 34.675,00;T 350 X;--
Fri Jul 26 19:12:44 2024;julho de 2024;895002-4;ZONTES;V 310;R$ 30.016,00;V 310;--
Fri Jul 26 19:12:54 2024;julho de 2024;895008-3;ZONTES;V 350;R$ 32.905,00;V 350;--
